categ_id (catagory),default_code,description,combined,PackID,Sequence,Length 1,Width 1,Height 1,Weight 1
Finished Goods,RPP-0302-1,"3"" Caster for Table Tote","[RPP-0302-1] 3"" Caster for Table Tote",,1,10,12,14,2
Finished Goods,RPP-0302-2,"4"" Caster for Table Tote","[RPP-0302-2] 4"" Caster for Table Tote",,1,10,12,14,3
Finished Goods,RPP-0302-3,Back Lever Arms for Table Tote,[RPP-0302-3] Back Lever Arms for Table Tote,,1,10,12,14,3
Finished Goods,RPP-0302-4,Handle for Table Tote,[RPP-0302-4] Handle for Table Tote,,1,10,12,14,4
Finished Goods,RPP-0302-5,Hinged Lock Catch for Table Tote,[RPP-0302-5] Hinged Lock Catch for Table Tote,,1,10,12,14,3
Finished Goods,RPP-0318,"Small top plate(1-1/4 x 2-1/16) 3"" hard rubber caster (Taxidermy Unlimited)","[RPP-0318] Small top plate(1-1/4 x 2-1/16) 3"" hard rubber caster (Taxidermy Unlimited)",,1,10,12,14,3
Finished Goods,RPP-0319,"Plastic 2"" plate caster (Taxidermy Unlimited)","[RPP-0319] Plastic 2"" plate caster (Taxidermy Unlimited)",,1,10,12,14,3
Finished Goods,RPP-0321,"2.5"" Caster for File Dolly","[RPP-0321] 2.5"" Caster for File Dolly",,1,10,12,14,2
Finished Goods,RPP-0322,"3"" Wheel for File Dolly","[RPP-0322] 3"" Wheel for File Dolly",,1,10,12,14,2
Finished Goods,RPP-0324,Locking Collar with Set Screw for File Dolly,[RPP-0324] Locking Collar with Set Screw for File Dolly,,1,10,12,14,1
Finished Goods,RPP-0325,Axle for 3215 File Dolly,[RPP-0325] Axle for 3215 File Dolly,,1,10,12,14,2
Finished Goods,RPP-0328,Axle for 3218 File Dolly,[RPP-0328] Axle for 3218 File Dolly,,1,10,12,14,2
Finished Goods,RPP-0329,Axle for 3220 File Dolly,[RPP-0329] Axle for 3220 File Dolly,,1,10,12,14,2
Finished Goods,RPP-0331,"2.5"" Plate Caster for All Purpose Dolly","[RPP-0331] 2.5"" Plate Caster for All Purpose Dolly",,1,10,12,14,3
Finished Goods,RPP-0352,"5"" Phenolic Swivel Caster for Panel Mover","[RPP-0352] 5"" Phenolic Swivel Caster for Panel Mover",,1,10,12,14,6
Finished Goods,RPP-0352B,"5"" Phenolic Swivel Caster W/Brake for Panel Mover","[RPP-0352B] 5"" Phenolic Swivel Caster W/Brake for Panel Mover",,1,10,12,14,7
Finished Goods,RPP-0353,"5"" Phenolic Fixed Caster for Panel Mover","[RPP-0353] 5"" Phenolic Fixed Caster for Panel Mover",,1,10,12,14,5
Finished Goods,RPP-0362,"6"" Phenolic Swivel Caster for Panel Mover","[RPP-0362] 6"" Phenolic Swivel Caster for Panel Mover",,1,10,12,14,7
Finished Goods,RPP-0362B,"6"" Phenolic Swivel Caster W/Brake for Panel Mover","[RPP-0362B] 6"" Phenolic Swivel Caster W/Brake for Panel Mover",,1,10,12,14,7
Finished Goods,RPP-0363,"6"" Phenolic Fixed Caster for Panel Mover","[RPP-0363] 6"" Phenolic Fixed Caster for Panel Mover",,1,10,12,14,6
Finished Goods,RPP-0375,HD Upright for 3700 Series Round Table Movers,[RPP-0375] HD Upright for 3700 Series Round Table Movers,,1,49,45,3,20
Finished Goods,RPP-0376,"Base only for Model #3771, with hardware","[RPP-0376] Base only for Model #3771, with hardware",,1,49,45,3,45
Finished Goods,RPP-0378AF,"8"" AIR FREE Swivel caster with Brake","[RPP-0378AF] 8"" AIR FREE Swivel caster with Brake",,1,10,12,14,8
Finished Goods,RPP-0379AF,"8"" AIR FREE Rigid caster","[RPP-0379AF] 8"" AIR FREE Rigid caster",,1,10,12,14,7
Finished Goods,RPP-0381,"Standard Upright for Panel Mover 26"" High","[RPP-0381] Standard Upright for Panel Mover 26"" High",,1,40,31,4,11
Finished Goods,RPP-0382,"Extra Tall Upright for Panel Mover 45"" High","[RPP-0382] Extra Tall Upright for Panel Mover 45"" High",,1,50,40,4,21
Finished Goods,RPP-0384,BOLT PACK 3800/3900,[RPP-0384] BOLT PACK 3800/3900,,1,50,40,4,21
